88:6B:0F:4A:71:00    -    SLF-Logger BLE
SerialNr;2005-0071
Project;sangvor
Name;mih
Location;SLF
Longitude;9.847383
Latitude;46.81242
Altitude;3938.0

Logger State;Stopped
Battery Level;64

Start Time;22. 09. 2023  03:34:18
PC Readout Time;25. 06. 2023  00:59:58
Logger Readout Time;05. 09. 2024  04:28:22
Logger to PC Difference;438d 3h 28min 24sec
Interval;1 hour

Offset (already added)[°C];0
Accuracy;0.2°C (Low power usage)

Measurement Count;8377
22.09.2023 03:34:18;-0.2
22.09.2023 04:34:18;0.0
22.09.2023 05:34:18;0.0
22.09.2023 06:34:18;1.4
22.09.2023 07:34:18;5.0
22.09.2023 08:34:18;7.2
22.09.2023 09:34:18;8.4
22.09.2023 10:34:18;8.8
22.09.2023 11:34:18;9.6
22.09.2023 12:34:18;10.2
22.09.2023 13:34:18;8.0
22.09.2023 14:34:18;6.0
22.09.2023 15:34:18;4.6
22.09.2023 16:34:18;3.4
22.09.2023 17:34:18;2.6
22.09.2023 18:34:18;2.0
22.09.2023 19:34:18;1.6
22.09.2023 20:34:18;1.2
22.09.2023 21:34:18;0.8
22.09.2023 22:34:18;0.6
22.09.2023 23:34:18;0.2
23.09.2023 00:34:18;0.0
23.09.2023 01:34:18;-0.2
23.09.2023 02:34:18;-0.4
23.09.2023 03:34:18;-0.6
23.09.2023 04:34:18;-0.4
23.09.2023 05:34:18;-0.2
23.09.2023 06:34:18;0.6
23.09.2023 07:34:18;4.6
23.09.2023 08:34:18;8.2
23.09.2023 09:34:18;10.8
23.09.2023 10:34:18;12.0
23.09.2023 11:34:18;12.2
23.09.2023 12:34:18;11.6
23.09.2023 13:34:18;9.0
23.09.2023 14:34:18;7.0
23.09.2023 15:34:18;5.4
23.09.2023 16:34:18;4.2
23.09.2023 17:34:18;3.2
23.09.2023 18:34:18;2.4
23.09.2023 19:34:18;1.8
23.09.2023 20:34:18;1.4
23.09.2023 21:34:18;1.0
23.09.2023 22:34:18;0.6
23.09.2023 23:34:18;0.4
24.09.2023 00:34:18;0.2
24.09.2023 01:34:18;0.0
24.09.2023 02:34:18;-0.2
24.09.2023 03:34:18;-0.2
24.09.2023 04:34:18;-0.2
24.09.2023 05:34:18;0.0
24.09.2023 06:34:18;2.2
24.09.2023 07:34:18;6.0
24.09.2023 08:34:18;9.2
24.09.2023 09:34:18;11.6
24.09.2023 10:34:18;13.0
24.09.2023 11:34:18;11.4
24.09.2023 12:34:18;10.8
24.09.2023 13:34:18;9.0
24.09.2023 14:34:18;7.4
24.09.2023 15:34:18;6.0
24.09.2023 16:34:18;4.8
24.09.2023 17:34:18;3.8
24.09.2023 18:34:18;3.0
24.09.2023 19:34:18;2.4
24.09.2023 20:34:18;2.0
24.09.2023 21:34:18;2.2
24.09.2023 22:34:18;2.0
24.09.2023 23:34:18;2.0
25.09.2023 00:34:18;1.8
25.09.2023 01:34:18;1.6
25.09.2023 02:34:18;1.6
25.09.2023 03:34:18;1.6
25.09.2023 04:34:18;1.8
25.09.2023 05:34:18;2.6
25.09.2023 06:34:18;3.8
25.09.2023 07:34:18;5.2
25.09.2023 08:34:18;6.2
25.09.2023 09:34:18;6.4
25.09.2023 10:34:18;6.6
25.09.2023 11:34:18;6.4
25.09.2023 12:34:18;6.0
25.09.2023 13:34:18;5.2
25.09.2023 14:34:18;4.2
25.09.2023 15:34:18;3.6
25.09.2023 16:34:18;3.2
25.09.2023 17:34:18;2.8
25.09.2023 18:34:18;2.4
25.09.2023 19:34:18;2.2
25.09.2023 20:34:18;1.8
25.09.2023 21:34:18;1.6
25.09.2023 22:34:18;1.4
25.09.2023 23:34:18;1.2
26.09.2023 00:34:18;0.6
26.09.2023 01:34:18;0.4
26.09.2023 02:34:18;0.2
26.09.2023 03:34:18;0.0
26.09.2023 04:34:18;0.0
26.09.2023 05:34:18;0.4
26.09.2023 06:34:18;2.8
26.09.2023 07:34:18;6.2
26.09.2023 08:34:18;9.0
26.09.2023 09:34:18;10.8
26.09.2023 10:34:18;12.0
26.09.2023 11:34:18;12.2
26.09.2023 12:34:18;10.8
26.09.2023 13:34:18;8.8
26.09.2023 14:34:18;7.0
26.09.2023 15:34:18;5.6
26.09.2023 16:34:18;4.4
26.09.2023 17:34:18;3.4
26.09.2023 18:34:18;2.6
26.09.2023 19:34:18;2.0
26.09.2023 20:34:18;1.4
26.09.2023 21:34:18;1.0
26.09.2023 22:34:18;0.6
26.09.2023 23:34:18;0.4
27.09.2023 00:34:18;0.0
27.09.2023 01:34:18;-0.2
27.09.2023 02:34:18;-0.4
27.09.2023 03:34:18;-0.4
27.09.2023 04:34:18;-0.4
27.09.2023 05:34:18;-0.2
27.09.2023 06:34:18;1.4
27.09.2023 07:34:18;5.0
27.09.2023 08:34:18;8.2
27.09.2023 09:34:18;10.2
27.09.2023 10:34:18;11.4
27.09.2023 11:34:18;11.4
27.09.2023 12:34:18;9.8
27.09.2023 13:34:18;8.2
27.09.2023 14:34:18;6.8
27.09.2023 15:34:18;5.8
27.09.2023 16:34:18;5.0
27.09.2023 17:34:18;4.4
27.09.2023 18:34:18;3.6
27.09.2023 19:34:18;3.2
27.09.2023 20:34:18;2.8
27.09.2023 21:34:18;2.2
27.09.2023 22:34:18;2.0
27.09.2023 23:34:18;1.8
28.09.2023 00:34:18;1.6
28.09.2023 01:34:18;1.4
28.09.2023 02:34:18;1.2
28.09.2023 03:34:18;1.0
28.09.2023 04:34:18;1.4
28.09.2023 05:34:18;2.4
28.09.2023 06:34:18;2.6
28.09.2023 07:34:18;2.8
28.09.2023 08:34:18;2.0
28.09.2023 09:34:18;1.8
28.09.2023 10:34:18;1.6
28.09.2023 11:34:18;1.4
28.09.2023 12:34:18;1.4
28.09.2023 13:34:18;1.4
28.09.2023 14:34:18;1.2
28.09.2023 15:34:18;1.2
28.09.2023 16:34:18;1.2
28.09.2023 17:34:18;1.0
28.09.2023 18:34:18;1.0
28.09.2023 19:34:18;1.0
28.09.2023 20:34:18;1.0
28.09.2023 21:34:18;0.8
28.09.2023 22:34:18;0.8
28.09.2023 23:34:18;0.8
29.09.2023 00:34:18;0.8
29.09.2023 01:34:18;0.8
29.09.2023 02:34:18;0.8
29.09.2023 03:34:18;0.8
29.09.2023 04:34:18;0.8
29.09.2023 05:34:18;1.0
29.09.2023 06:34:18;1.4
29.09.2023 07:34:18;1.4
29.09.2023 08:34:18;1.4
29.09.2023 09:34:18;1.4
29.09.2023 10:34:18;1.2
29.09.2023 11:34:18;1.2
29.09.2023 12:34:18;1.4
29.09.2023 13:34:18;1.2
29.09.2023 14:34:18;1.0
29.09.2023 15:34:18;0.8
29.09.2023 16:34:18;0.6
29.09.2023 17:34:18;0.6
29.09.2023 18:34:18;0.6
29.09.2023 19:34:18;0.6
29.09.2023 20:34:18;0.4
29.09.2023 21:34:18;0.6
29.09.2023 22:34:18;0.6
29.09.2023 23:34:18;0.6
30.09.2023 00:34:18;0.6
30.09.2023 01:34:18;0.6
30.09.2023 02:34:18;0.6
30.09.2023 03:34:18;0.6
30.09.2023 04:34:18;0.6
30.09.2023 05:34:18;0.6
30.09.2023 06:34:18;0.6
30.09.2023 07:34:18;0.6
30.09.2023 08:34:18;0.6
30.09.2023 09:34:18;0.6
30.09.2023 10:34:18;0.6
30.09.2023 11:34:18;0.6
30.09.2023 12:34:18;0.6
30.09.2023 13:34:18;0.6
30.09.2023 14:34:18;0.6
30.09.2023 15:34:18;0.6
30.09.2023 16:34:18;0.4
30.09.2023 17:34:18;0.4
30.09.2023 18:34:18;0.4
30.09.2023 19:34:18;0.2
30.09.2023 20:34:18;0.2
30.09.2023 21:34:18;0.2
30.09.2023 22:34:18;0.2
30.09.2023 23:34:18;0.2
01.10.2023 00:34:18;0.0
01.10.2023 01:34:18;0.0
01.10.2023 02:34:18;0.0
01.10.2023 03:34:18;0.0
01.10.2023 04:34:18;0.0
01.10.2023 05:34:18;0.0
01.10.2023 06:34:18;0.0
01.10.2023 07:34:18;0.2
01.10.2023 08:34:18;0.2
01.10.2023 09:34:18;0.8
01.10.2023 10:34:18;2.8
01.10.2023 11:34:18;4.2
01.10.2023 12:34:18;2.4
01.10.2023 13:34:18;1.4
01.10.2023 14:34:18;0.8
01.10.2023 15:34:18;0.6
01.10.2023 16:34:18;0.4
01.10.2023 17:34:18;0.2
01.10.2023 18:34:18;0.0
01.10.2023 19:34:18;0.0
01.10.2023 20:34:18;0.0
01.10.2023 21:34:18;0.0
01.10.2023 22:34:18;0.0
01.10.2023 23:34:18;-0.2
02.10.2023 00:34:18;-0.2
02.10.2023 01:34:18;-0.2
02.10.2023 02:34:18;-0.2
02.10.2023 03:34:18;-0.4
02.10.2023 04:34:18;-0.2
02.10.2023 05:34:18;-0.2
02.10.2023 06:34:18;-0.2
02.10.2023 07:34:18;0.0
02.10.2023 08:34:18;0.8
02.10.2023 09:34:18;3.0
02.10.2023 10:34:18;4.6
02.10.2023 11:34:18;5.2
02.10.2023 12:34:18;4.0
02.10.2023 13:34:18;3.0
02.10.2023 14:34:18;2.0
02.10.2023 15:34:18;1.2
02.10.2023 16:34:18;0.8
02.10.2023 17:34:18;0.6
02.10.2023 18:34:18;0.4
02.10.2023 19:34:18;0.2
02.10.2023 20:34:18;0.2
02.10.2023 21:34:18;0.0
02.10.2023 22:34:18;-0.2
02.10.2023 23:34:18;-0.2
03.10.2023 00:34:18;-0.4
03.10.2023 01:34:18;-0.6
03.10.2023 02:34:18;-0.6
03.10.2023 03:34:18;-0.8
03.10.2023 04:34:18;-0.6
03.10.2023 05:34:18;-0.4
03.10.2023 06:34:18;-0.2
03.10.2023 07:34:18;0.0
03.10.2023 08:34:18;1.2
03.10.2023 09:34:18;4.0
03.10.2023 10:34:18;5.2
03.10.2023 11:34:18;4.6
03.10.2023 12:34:18;3.6
03.10.2023 13:34:18;2.6
03.10.2023 14:34:18;1.8
03.10.2023 15:34:18;1.2
03.10.2023 16:34:18;1.0
03.10.2023 17:34:18;0.8
03.10.2023 18:34:18;0.6
03.10.2023 19:34:18;0.4
03.10.2023 20:34:18;0.2
03.10.2023 21:34:18;0.0
03.10.2023 22:34:18;0.0
03.10.2023 23:34:18;-0.2
04.10.2023 00:34:18;-0.2
04.10.2023 01:34:18;-0.4
04.10.2023 02:34:18;-0.6
04.10.2023 03:34:18;-0.6
04.10.2023 04:34:18;-0.4
04.10.2023 05:34:18;-0.2
04.10.2023 06:34:18;-0.2
04.10.2023 07:34:18;-0.2
04.10.2023 08:34:18;0.4
04.10.2023 09:34:18;2.8
04.10.2023 10:34:18;4.4
04.10.2023 11:34:18;5.6
04.10.2023 12:34:18;4.2
04.10.2023 13:34:18;3.0
04.10.2023 14:34:18;2.0
04.10.2023 15:34:18;1.4
04.10.2023 16:34:18;1.2
04.10.2023 17:34:18;1.0
04.10.2023 18:34:18;0.8
04.10.2023 19:34:18;0.6
04.10.2023 20:34:18;0.4
04.10.2023 21:34:18;0.4
04.10.2023 22:34:18;0.4
04.10.2023 23:34:18;0.2
05.10.2023 00:34:18;0.2
05.10.2023 01:34:18;0.2
05.10.2023 02:34:18;0.2
05.10.2023 03:34:18;0.0
05.10.2023 04:34:18;0.0
05.10.2023 05:34:18;0.2
05.10.2023 06:34:18;0.6
05.10.2023 07:34:18;2.2
05.10.2023 08:34:18;5.8
05.10.2023 09:34:18;9.0
05.10.2023 10:34:18;10.8
05.10.2023 11:34:18;10.6
05.10.2023 12:34:18;8.0
05.10.2023 13:34:18;6.2
05.10.2023 14:34:18;5.0
05.10.2023 15:34:18;4.0
05.10.2023 16:34:18;3.2
05.10.2023 17:34:18;2.4
05.10.2023 18:34:18;2.0
05.10.2023 19:34:18;1.8
05.10.2023 20:34:18;1.4
05.10.2023 21:34:18;1.2
05.10.2023 22:34:18;1.2
05.10.2023 23:34:18;1.0
06.10.2023 00:34:18;1.0
06.10.2023 01:34:18;1.0
06.10.2023 02:34:18;0.8
06.10.2023 03:34:18;0.8
06.10.2023 04:34:18;0.8
06.10.2023 05:34:18;1.0
06.10.2023 06:34:18;3.2
06.10.2023 07:34:18;5.0
06.10.2023 08:34:18;5.6
06.10.2023 09:34:18;4.4
06.10.2023 10:34:18;2.6
06.10.2023 11:34:18;2.0
06.10.2023 12:34:18;1.6
06.10.2023 13:34:18;1.6
06.10.2023 14:34:18;1.4
06.10.2023 15:34:18;1.2
06.10.2023 16:34:18;1.2
06.10.2023 17:34:18;1.0
06.10.2023 18:34:18;1.0
06.10.2023 19:34:18;1.0
06.10.2023 20:34:18;0.8
06.10.2023 21:34:18;0.8
06.10.2023 22:34:18;0.8
06.10.2023 23:34:18;0.8
07.10.2023 00:34:18;0.8
07.10.2023 01:34:18;0.8
07.10.2023 02:34:18;0.6
07.10.2023 03:34:18;0.6
07.10.2023 04:34:18;0.6
07.10.2023 05:34:18;0.6
07.10.2023 06:34:18;0.6
07.10.2023 07:34:18;0.6
07.10.2023 08:34:18;0.6
07.10.2023 09:34:18;0.6
07.10.2023 10:34:18;0.6
07.10.2023 11:34:18;0.6
07.10.2023 12:34:18;0.6
07.10.2023 13:34:18;0.8
07.10.2023 14:34:18;0.6
07.10.2023 15:34:18;0.6
07.10.2023 16:34:18;0.4
07.10.2023 17:34:18;0.4
07.10.2023 18:34:18;0.2
07.10.2023 19:34:18;0.2
07.10.2023 20:34:18;0.2
07.10.2023 21:34:18;0.0
07.10.2023 22:34:18;0.0
07.10.2023 23:34:18;0.0
08.10.2023 00:34:18;0.0
08.10.2023 01:34:18;0.0
08.10.2023 02:34:18;0.0
08.10.2023 03:34:18;-0.2
08.10.2023 04:34:18;-0.2
08.10.2023 05:34:18;-0.2
08.10.2023 06:34:18;0.0
08.10.2023 07:34:18;0.0
08.10.2023 08:34:18;0.0
08.10.2023 09:34:18;0.8
08.10.2023 10:34:18;2.8
