88:6B:0F:4A:6E:E9    -    SLF-Logger BLE
SerialNr;2005-0074
Project;sangvor
Name;mih
Location;SLF
Longitude;9.847383
Latitude;46.81242
Altitude;1561.0

Logger State;Stopped
Battery Level;61

Start Time;21. 09. 2023  11:38:27
PC Readout Time;24. 06. 2023  04:53:16
Logger Readout Time;04. 09. 2024  08:27:26
Logger to PC Difference;438d 3h 34min 10sec
Interval;1 hour

Offset (already added)[°C];0
Accuracy;0.2°C (Low power usage)

Measurement Count;8373
21.09.2023 11:38:27;3.0
21.09.2023 12:38:27;4.4
21.09.2023 13:38:27;5.4
21.09.2023 14:38:27;6.4
21.09.2023 15:38:27;6.4
21.09.2023 16:38:27;6.0
21.09.2023 17:38:27;5.4
21.09.2023 18:38:27;4.6
21.09.2023 19:38:27;4.0
21.09.2023 20:38:27;3.2
21.09.2023 21:38:27;2.6
21.09.2023 22:38:27;2.0
21.09.2023 23:38:27;1.8
22.09.2023 00:38:27;1.2
22.09.2023 01:38:27;0.8
22.09.2023 02:38:27;0.2
22.09.2023 03:38:27;0.2
22.09.2023 04:38:27;0.0
22.09.2023 05:38:27;-0.2
22.09.2023 06:38:27;-0.2
22.09.2023 07:38:27;-0.2
22.09.2023 08:38:27;0.2
22.09.2023 09:38:27;1.2
22.09.2023 10:38:27;2.4
22.09.2023 11:38:27;3.8
22.09.2023 12:38:27;4.4
22.09.2023 13:38:27;5.0
22.09.2023 14:38:27;5.2
22.09.2023 15:38:27;5.4
22.09.2023 16:38:27;4.8
22.09.2023 17:38:27;4.2
22.09.2023 18:38:27;3.6
22.09.2023 19:38:27;3.0
22.09.2023 20:38:27;2.6
22.09.2023 21:38:27;2.0
22.09.2023 22:38:27;1.4
22.09.2023 23:38:27;0.8
23.09.2023 00:38:27;0.8
23.09.2023 01:38:27;0.2
23.09.2023 02:38:27;0.0
23.09.2023 03:38:27;-0.2
23.09.2023 04:38:27;-0.2
23.09.2023 05:38:27;-0.4
23.09.2023 06:38:27;-0.6
23.09.2023 07:38:27;-0.4
23.09.2023 08:38:27;0.0
23.09.2023 09:38:27;1.0
23.09.2023 10:38:27;2.4
23.09.2023 11:38:27;4.6
23.09.2023 12:38:27;5.8
23.09.2023 13:38:27;6.6
23.09.2023 14:38:27;7.2
23.09.2023 15:38:27;7.2
23.09.2023 16:38:27;6.6
23.09.2023 17:38:27;5.8
23.09.2023 18:38:27;5.4
23.09.2023 19:38:27;4.6
23.09.2023 20:38:27;3.6
23.09.2023 21:38:27;3.2
23.09.2023 22:38:27;2.6
23.09.2023 23:38:27;2.2
24.09.2023 00:38:27;2.0
24.09.2023 01:38:27;1.6
24.09.2023 02:38:27;1.0
24.09.2023 03:38:27;0.8
24.09.2023 04:38:27;0.6
24.09.2023 05:38:27;0.4
24.09.2023 06:38:27;0.2
24.09.2023 07:38:27;0.4
24.09.2023 08:38:27;0.8
24.09.2023 09:38:27;1.8
24.09.2023 10:38:27;3.2
24.09.2023 11:38:27;4.4
24.09.2023 12:38:27;5.0
24.09.2023 13:38:27;5.4
24.09.2023 14:38:27;5.2
24.09.2023 15:38:27;5.0
24.09.2023 16:38:27;4.6
24.09.2023 17:38:27;4.2
24.09.2023 18:38:27;3.4
24.09.2023 19:38:27;3.0
24.09.2023 20:38:27;2.2
24.09.2023 21:38:27;2.0
24.09.2023 22:38:27;1.4
24.09.2023 23:38:27;1.2
25.09.2023 00:38:27;1.0
25.09.2023 01:38:27;0.6
25.09.2023 02:38:27;0.4
25.09.2023 03:38:27;0.4
25.09.2023 04:38:27;0.4
25.09.2023 05:38:27;0.6
25.09.2023 06:38:27;0.8
25.09.2023 07:38:27;1.0
25.09.2023 08:38:27;1.4
25.09.2023 09:38:27;1.8
25.09.2023 10:38:27;2.4
25.09.2023 11:38:27;3.0
25.09.2023 12:38:27;2.8
25.09.2023 13:38:27;2.4
25.09.2023 14:38:27;2.4
25.09.2023 15:38:27;2.0
25.09.2023 16:38:27;1.4
25.09.2023 17:38:27;1.4
25.09.2023 18:38:27;1.2
25.09.2023 19:38:27;1.2
25.09.2023 20:38:27;1.0
25.09.2023 21:38:27;0.8
25.09.2023 22:38:27;0.4
25.09.2023 23:38:27;0.4
26.09.2023 00:38:27;0.2
26.09.2023 01:38:27;0.0
26.09.2023 02:38:27;-0.6
26.09.2023 03:38:27;-0.4
26.09.2023 04:38:27;-0.6
26.09.2023 05:38:27;-0.8
26.09.2023 06:38:27;-0.8
26.09.2023 07:38:27;-0.8
26.09.2023 08:38:27;-0.4
26.09.2023 09:38:27;0.4
26.09.2023 10:38:27;2.0
26.09.2023 11:38:27;3.6
26.09.2023 12:38:27;4.4
26.09.2023 13:38:27;4.8
26.09.2023 14:38:27;4.8
26.09.2023 15:38:27;4.8
26.09.2023 16:38:27;4.4
26.09.2023 17:38:27;3.6
26.09.2023 18:38:27;3.2
26.09.2023 19:38:27;2.4
26.09.2023 20:38:27;2.0
26.09.2023 21:38:27;1.6
26.09.2023 22:38:27;1.2
26.09.2023 23:38:27;0.8
27.09.2023 00:38:27;0.4
27.09.2023 01:38:27;0.0
27.09.2023 02:38:27;-0.4
27.09.2023 03:38:27;-0.4
27.09.2023 04:38:27;-0.6
27.09.2023 05:38:27;-0.8
27.09.2023 06:38:27;-0.8
27.09.2023 07:38:27;-0.6
27.09.2023 08:38:27;-0.2
27.09.2023 09:38:27;0.8
27.09.2023 10:38:27;2.0
27.09.2023 11:38:27;3.6
27.09.2023 12:38:27;5.0
27.09.2023 13:38:27;5.2
27.09.2023 14:38:27;5.2
27.09.2023 15:38:27;5.2
27.09.2023 16:38:27;4.6
27.09.2023 17:38:27;4.2
27.09.2023 18:38:27;3.4
27.09.2023 19:38:27;3.2
27.09.2023 20:38:27;3.0
27.09.2023 21:38:27;2.4
27.09.2023 22:38:27;2.0
27.09.2023 23:38:27;1.6
28.09.2023 00:38:27;1.4
28.09.2023 01:38:27;0.8
28.09.2023 02:38:27;0.6
28.09.2023 03:38:27;0.4
28.09.2023 04:38:27;0.2
28.09.2023 05:38:27;0.0
28.09.2023 06:38:27;0.0
28.09.2023 07:38:27;-0.2
28.09.2023 08:38:27;0.0
28.09.2023 09:38:27;0.2
28.09.2023 10:38:27;0.2
28.09.2023 11:38:27;0.2
28.09.2023 12:38:27;0.4
28.09.2023 13:38:27;0.4
28.09.2023 14:38:27;0.4
28.09.2023 15:38:27;0.4
28.09.2023 16:38:27;0.2
28.09.2023 17:38:27;0.2
28.09.2023 18:38:27;0.2
28.09.2023 19:38:27;0.2
28.09.2023 20:38:27;0.0
28.09.2023 21:38:27;-0.4
28.09.2023 22:38:27;-0.2
28.09.2023 23:38:27;-0.4
29.09.2023 00:38:27;-0.4
29.09.2023 01:38:27;-0.4
29.09.2023 02:38:27;-0.6
29.09.2023 03:38:27;-0.6
29.09.2023 04:38:27;-0.4
29.09.2023 05:38:27;-0.4
29.09.2023 06:38:27;-0.6
29.09.2023 07:38:27;-0.4
29.09.2023 08:38:27;0.0
29.09.2023 09:38:27;0.0
29.09.2023 10:38:27;0.0
29.09.2023 11:38:27;0.0
29.09.2023 12:38:27;0.0
29.09.2023 13:38:27;0.0
29.09.2023 14:38:27;0.0
29.09.2023 15:38:27;0.0
29.09.2023 16:38:27;0.0
29.09.2023 17:38:27;0.0
29.09.2023 18:38:27;0.0
29.09.2023 19:38:27;0.0
29.09.2023 20:38:27;0.0
29.09.2023 21:38:27;0.0
29.09.2023 22:38:27;0.0
29.09.2023 23:38:27;0.0
30.09.2023 00:38:27;0.0
30.09.2023 01:38:27;0.0
30.09.2023 02:38:27;0.0
30.09.2023 03:38:27;0.0
30.09.2023 04:38:27;0.0
30.09.2023 05:38:27;0.0
30.09.2023 06:38:27;0.0
30.09.2023 07:38:27;-0.2
30.09.2023 08:38:27;0.0
30.09.2023 09:38:27;0.0
30.09.2023 10:38:27;0.0
30.09.2023 11:38:27;0.0
30.09.2023 12:38:27;0.0
30.09.2023 13:38:27;0.0
30.09.2023 14:38:27;0.0
30.09.2023 15:38:27;0.0
30.09.2023 16:38:27;0.0
30.09.2023 17:38:27;0.0
30.09.2023 18:38:27;0.0
30.09.2023 19:38:27;0.0
30.09.2023 20:38:27;0.0
30.09.2023 21:38:27;0.0
30.09.2023 22:38:27;0.0
30.09.2023 23:38:27;0.0
01.10.2023 00:38:27;-0.2
01.10.2023 01:38:27;-0.4
01.10.2023 02:38:27;-0.4
01.10.2023 03:38:27;-0.4
01.10.2023 04:38:27;-0.4
01.10.2023 05:38:27;-0.6
01.10.2023 06:38:27;-0.6
01.10.2023 07:38:27;-0.6
01.10.2023 08:38:27;-0.6
01.10.2023 09:38:27;-0.2
01.10.2023 10:38:27;-0.2
01.10.2023 11:38:27;0.0
01.10.2023 12:38:27;0.2
01.10.2023 13:38:27;0.4
01.10.2023 14:38:27;0.4
01.10.2023 15:38:27;0.6
01.10.2023 16:38:27;0.6
01.10.2023 17:38:27;0.6
01.10.2023 18:38:27;0.6
01.10.2023 19:38:27;0.4
01.10.2023 20:38:27;0.4
01.10.2023 21:38:27;0.2
01.10.2023 22:38:27;0.0
01.10.2023 23:38:27;-0.2
02.10.2023 00:38:27;-0.2
02.10.2023 01:38:27;-0.2
02.10.2023 02:38:27;-0.2
02.10.2023 03:38:27;-0.4
02.10.2023 04:38:27;-0.4
02.10.2023 05:38:27;-0.4
02.10.2023 06:38:27;-0.2
02.10.2023 07:38:27;-0.2
02.10.2023 08:38:27;0.0
02.10.2023 09:38:27;0.2
02.10.2023 10:38:27;0.6
02.10.2023 11:38:27;1.0
02.10.2023 12:38:27;1.6
02.10.2023 13:38:27;2.0
02.10.2023 14:38:27;2.2
02.10.2023 15:38:27;2.0
02.10.2023 16:38:27;1.6
02.10.2023 17:38:27;1.2
02.10.2023 18:38:27;0.6
02.10.2023 19:38:27;0.4
02.10.2023 20:38:27;0.2
02.10.2023 21:38:27;0.0
02.10.2023 22:38:27;-0.2
02.10.2023 23:38:27;-0.4
03.10.2023 00:38:27;-0.4
03.10.2023 01:38:27;-0.6
03.10.2023 02:38:27;-0.8
03.10.2023 03:38:27;-0.8
03.10.2023 04:38:27;-1.0
03.10.2023 05:38:27;-1.2
03.10.2023 06:38:27;-1.4
03.10.2023 07:38:27;-1.4
03.10.2023 08:38:27;-1.0
03.10.2023 09:38:27;-0.6
03.10.2023 10:38:27;0.2
03.10.2023 11:38:27;0.6
03.10.2023 12:38:27;0.8
03.10.2023 13:38:27;0.6
03.10.2023 14:38:27;0.4
03.10.2023 15:38:27;0.4
03.10.2023 16:38:27;0.4
03.10.2023 17:38:27;0.4
03.10.2023 18:38:27;0.2
03.10.2023 19:38:27;0.0
03.10.2023 20:38:27;-0.2
03.10.2023 21:38:27;-0.2
03.10.2023 22:38:27;-0.4
03.10.2023 23:38:27;-0.4
04.10.2023 00:38:27;-0.6
04.10.2023 01:38:27;-0.8
04.10.2023 02:38:27;-0.8
04.10.2023 03:38:27;-1.0
04.10.2023 04:38:27;-1.4
04.10.2023 05:38:27;-1.6
04.10.2023 06:38:27;-1.4
04.10.2023 07:38:27;-1.2
04.10.2023 08:38:27;-0.8
04.10.2023 09:38:27;-0.6
04.10.2023 10:38:27;-0.4
04.10.2023 11:38:27;0.0
04.10.2023 12:38:27;0.0
04.10.2023 13:38:27;0.0
04.10.2023 14:38:27;0.0
04.10.2023 15:38:27;0.0
04.10.2023 16:38:27;0.0
04.10.2023 17:38:27;-0.2
04.10.2023 18:38:27;-0.2
04.10.2023 19:38:27;-0.2
04.10.2023 20:38:27;-0.2
04.10.2023 21:38:27;-0.2
04.10.2023 22:38:27;-0.2
04.10.2023 23:38:27;-0.2
05.10.2023 00:38:27;-0.4
05.10.2023 01:38:27;-0.4
05.10.2023 02:38:27;-0.4
05.10.2023 03:38:27;-0.4
05.10.2023 04:38:27;-0.4
05.10.2023 05:38:27;-0.6
05.10.2023 06:38:27;-0.6
05.10.2023 07:38:27;-0.2
05.10.2023 08:38:27;-0.2
05.10.2023 09:38:27;-0.2
05.10.2023 10:38:27;0.0
05.10.2023 11:38:27;0.0
05.10.2023 12:38:27;0.4
05.10.2023 13:38:27;0.6
05.10.2023 14:38:27;0.6
05.10.2023 15:38:27;0.2
05.10.2023 16:38:27;0.2
05.10.2023 17:38:27;0.2
05.10.2023 18:38:27;0.0
05.10.2023 19:38:27;0.0
05.10.2023 20:38:27;0.0
05.10.2023 21:38:27;0.0
05.10.2023 22:38:27;0.0
05.10.2023 23:38:27;0.0
06.10.2023 00:38:27;-0.2
06.10.2023 01:38:27;-0.2
06.10.2023 02:38:27;-0.2
06.10.2023 03:38:27;0.0
06.10.2023 04:38:27;-0.2
06.10.2023 05:38:27;0.0
06.10.2023 06:38:27;0.0
06.10.2023 07:38:27;0.0
06.10.2023 08:38:27;-0.2
06.10.2023 09:38:27;0.0
06.10.2023 10:38:27;0.0
06.10.2023 11:38:27;0.0
06.10.2023 12:38:27;0.0
06.10.2023 13:38:27;0.0
06.10.2023 14:38:27;0.0
06.10.2023 15:38:27;0.0
06.10.2023 16:38:27;0.0
06.10.2023 17:38:27;0.0
06.10.2023 18:38:27;0.0
06.10.2023 19:38:27;0.0
06.10.2023 20:38:27;0.0
06.10.2023 21:38:27;0.0
06.10.2023 22:38:27;0.0
06.10.2023 23:38:27;0.0
07.10.2023 00:38:27;0.0
07.10.2023 01:38:27;0.0
07.10.2023 02:38:27;0.0
07.10.2023 03:38:27;0.0
07.10.2023 04:38:27;0.0
07.10.2023 05:38:27;0.0
07.10.2023 06:38:27;0.0
07.10.2023 07:38:27;0.0
07.10.2023 08:38:27;0.0
07.10.2023 09:38:27;0.0
07.10.2023 10:38:27;0.0
07.10.2023 11:38:27;0.0
07.10.2023 12:38:27;0.0
07.10.2023 13:38:27;0.0
07.10.2023 14:38:27;0.0
07.10.2023 15:38:27;0.0
