88:6B:0F:4A:70:E8    -    SLF-Logger BLE
SerialNr;2005-0091
Project;sangvor
Name;mih
Location;SLF
Longitude;9.847383
Latitude;46.81242
Altitude;1561.0

Logger State;Stopped
Battery Level;80

Start Time;25. 09. 2021  05:13:14
PC Readout Time;05. 09. 2022  12:59:01
Logger Readout Time;05. 09. 2022  12:57:39
Logger to PC Difference;0d 0h 1min 22sec
Interval;1 hour

Offset (already added)[°C];0
Accuracy;0.2°C (Low power usage)

Measurement Count;8288
25.09.2021 05:13:14;11.0
25.09.2021 06:13:14;13.0
25.09.2021 07:13:14;13.6
25.09.2021 08:13:14;14.6
25.09.2021 09:13:14;16.2
25.09.2021 10:13:14;17.8
25.09.2021 11:13:14;19.4
25.09.2021 12:13:14;20.8
25.09.2021 13:13:14;20.6
25.09.2021 14:13:14;19.8
25.09.2021 15:13:14;19.0
25.09.2021 16:13:14;18.0
25.09.2021 17:13:14;17.2
25.09.2021 18:13:14;16.4
25.09.2021 19:13:14;15.8
25.09.2021 20:13:14;15.2
25.09.2021 21:13:14;14.6
25.09.2021 22:13:14;14.2
25.09.2021 23:13:14;13.6
26.09.2021 00:13:14;13.2
26.09.2021 01:13:14;12.8
26.09.2021 02:13:14;12.6
26.09.2021 03:13:14;12.2
26.09.2021 04:13:14;12.0
26.09.2021 05:13:14;11.8
26.09.2021 06:13:14;12.0
26.09.2021 07:13:14;12.8
26.09.2021 08:13:14;14.2
26.09.2021 09:13:14;15.8
26.09.2021 10:13:14;17.6
26.09.2021 11:13:14;19.4
26.09.2021 12:13:14;20.8
26.09.2021 13:13:14;20.8
26.09.2021 14:13:14;20.0
26.09.2021 15:13:14;19.2
26.09.2021 16:13:14;18.2
26.09.2021 17:13:14;17.4
26.09.2021 18:13:14;16.6
26.09.2021 19:13:14;16.0
26.09.2021 20:13:14;15.4
26.09.2021 21:13:14;14.8
26.09.2021 22:13:14;14.4
26.09.2021 23:13:14;13.8
27.09.2021 00:13:14;13.4
27.09.2021 01:13:14;13.0
27.09.2021 02:13:14;12.8
27.09.2021 03:13:14;12.4
27.09.2021 04:13:14;12.0
27.09.2021 05:13:14;12.0
27.09.2021 06:13:14;12.0
27.09.2021 07:13:14;12.8
27.09.2021 08:13:14;14.2
27.09.2021 09:13:14;15.6
27.09.2021 10:13:14;17.2
27.09.2021 11:13:14;18.8
27.09.2021 12:13:14;20.0
27.09.2021 13:13:14;19.8
27.09.2021 14:13:14;19.2
27.09.2021 15:13:14;18.4
27.09.2021 16:13:14;17.6
27.09.2021 17:13:14;16.8
27.09.2021 18:13:14;16.0
27.09.2021 19:13:14;15.4
27.09.2021 20:13:14;14.8
27.09.2021 21:13:14;14.4
27.09.2021 22:13:14;13.8
27.09.2021 23:13:14;13.4
28.09.2021 00:13:14;13.0
28.09.2021 01:13:14;12.6
28.09.2021 02:13:14;12.2
28.09.2021 03:13:14;12.0
28.09.2021 04:13:14;11.8
28.09.2021 05:13:14;11.6
28.09.2021 06:13:14;11.8
28.09.2021 07:13:14;12.6
28.09.2021 08:13:14;14.0
28.09.2021 09:13:14;15.6
28.09.2021 10:13:14;17.2
28.09.2021 11:13:14;18.8
28.09.2021 12:13:14;20.2
28.09.2021 13:13:14;20.0
28.09.2021 14:13:14;19.6
28.09.2021 15:13:14;18.8
28.09.2021 16:13:14;18.0
28.09.2021 17:13:14;17.2
28.09.2021 18:13:14;16.4
28.09.2021 19:13:14;15.8
28.09.2021 20:13:14;15.2
28.09.2021 21:13:14;14.6
28.09.2021 22:13:14;14.2
28.09.2021 23:13:14;13.8
29.09.2021 00:13:14;13.4
29.09.2021 01:13:14;13.2
29.09.2021 02:13:14;12.8
29.09.2021 03:13:14;12.6
29.09.2021 04:13:14;12.4
29.09.2021 05:13:14;12.2
29.09.2021 06:13:14;12.4
29.09.2021 07:13:14;13.2
29.09.2021 08:13:14;14.6
29.09.2021 09:13:14;16.0
29.09.2021 10:13:14;17.4
29.09.2021 11:13:14;18.8
29.09.2021 12:13:14;19.8
29.09.2021 13:13:14;19.6
29.09.2021 14:13:14;19.2
29.09.2021 15:13:14;18.6
29.09.2021 16:13:14;17.8
29.09.2021 17:13:14;17.2
29.09.2021 18:13:14;16.4
29.09.2021 19:13:14;15.8
29.09.2021 20:13:14;15.2
29.09.2021 21:13:14;14.8
29.09.2021 22:13:14;14.2
29.09.2021 23:13:14;13.8
30.09.2021 00:13:14;13.4
30.09.2021 01:13:14;13.0
30.09.2021 02:13:14;12.6
30.09.2021 03:13:14;12.4
30.09.2021 04:13:14;12.2
30.09.2021 05:13:14;12.2
30.09.2021 06:13:14;12.4
30.09.2021 07:13:14;13.2
30.09.2021 08:13:14;14.4
30.09.2021 09:13:14;15.8
30.09.2021 10:13:14;17.4
30.09.2021 11:13:14;18.8
30.09.2021 12:13:14;20.0
30.09.2021 13:13:14;19.8
30.09.2021 14:13:14;19.4
30.09.2021 15:13:14;18.8
30.09.2021 16:13:14;18.0
30.09.2021 17:13:14;17.4
30.09.2021 18:13:14;16.8
30.09.2021 19:13:14;16.0
30.09.2021 20:13:14;15.6
30.09.2021 21:13:14;15.0
30.09.2021 22:13:14;14.6
30.09.2021 23:13:14;14.2
01.10.2021 00:13:14;14.0
01.10.2021 01:13:14;13.8
01.10.2021 02:13:14;13.6
01.10.2021 03:13:14;13.6
01.10.2021 04:13:14;13.6
01.10.2021 05:13:14;13.8
01.10.2021 06:13:14;14.2
01.10.2021 07:13:14;14.8
01.10.2021 08:13:14;15.6
01.10.2021 09:13:14;16.4
01.10.2021 10:13:14;16.8
01.10.2021 11:13:14;17.0
01.10.2021 12:13:14;17.0
01.10.2021 13:13:14;16.8
01.10.2021 14:13:14;16.4
01.10.2021 15:13:14;16.0
01.10.2021 16:13:14;15.8
01.10.2021 17:13:14;15.4
01.10.2021 18:13:14;15.0
01.10.2021 19:13:14;14.8
01.10.2021 20:13:14;14.6
01.10.2021 21:13:14;14.2
01.10.2021 22:13:14;14.2
01.10.2021 23:13:14;14.0
02.10.2021 00:13:14;13.8
02.10.2021 01:13:14;13.4
02.10.2021 02:13:14;13.2
02.10.2021 03:13:14;13.2
02.10.2021 04:13:14;13.0
02.10.2021 05:13:14;13.0
02.10.2021 06:13:14;13.2
02.10.2021 07:13:14;13.6
02.10.2021 08:13:14;14.0
02.10.2021 09:13:14;14.2
02.10.2021 10:13:14;14.4
02.10.2021 11:13:14;14.6
02.10.2021 12:13:14;14.4
02.10.2021 13:13:14;14.2
02.10.2021 14:13:14;14.2
02.10.2021 15:13:14;13.8
02.10.2021 16:13:14;13.6
02.10.2021 17:13:14;13.2
02.10.2021 18:13:14;12.8
02.10.2021 19:13:14;12.2
02.10.2021 20:13:14;12.0
02.10.2021 21:13:14;11.8
02.10.2021 22:13:14;11.6
02.10.2021 23:13:14;11.4
03.10.2021 00:13:14;11.2
03.10.2021 01:13:14;11.2
03.10.2021 02:13:14;11.0
03.10.2021 03:13:14;10.8
03.10.2021 04:13:14;10.8
03.10.2021 05:13:14;11.0
03.10.2021 06:13:14;11.4
03.10.2021 07:13:14;12.0
03.10.2021 08:13:14;13.0
03.10.2021 09:13:14;13.6
03.10.2021 10:13:14;14.4
03.10.2021 11:13:14;15.0
03.10.2021 12:13:14;15.6
03.10.2021 13:13:14;15.6
03.10.2021 14:13:14;15.2
03.10.2021 15:13:14;14.6
03.10.2021 16:13:14;14.2
03.10.2021 17:13:14;13.6
03.10.2021 18:13:14;13.2
03.10.2021 19:13:14;12.8
03.10.2021 20:13:14;12.6
03.10.2021 21:13:14;12.2
03.10.2021 22:13:14;12.0
03.10.2021 23:13:14;11.6
04.10.2021 00:13:14;11.4
04.10.2021 01:13:14;11.2
04.10.2021 02:13:14;11.0
04.10.2021 03:13:14;11.0
04.10.2021 04:13:14;10.8
04.10.2021 05:13:14;10.8
04.10.2021 06:13:14;11.2
04.10.2021 07:13:14;11.8
04.10.2021 08:13:14;12.4
04.10.2021 09:13:14;13.2
04.10.2021 10:13:14;14.2
04.10.2021 11:13:14;15.6
04.10.2021 12:13:14;16.6
04.10.2021 13:13:14;16.4
04.10.2021 14:13:14;15.8
04.10.2021 15:13:14;15.2
04.10.2021 16:13:14;14.4
04.10.2021 17:13:14;13.8
04.10.2021 18:13:14;13.0
04.10.2021 19:13:14;12.4
04.10.2021 20:13:14;12.0
04.10.2021 21:13:14;11.4
04.10.2021 22:13:14;11.0
04.10.2021 23:13:14;10.6
05.10.2021 00:13:14;10.4
05.10.2021 01:13:14;10.0
05.10.2021 02:13:14;9.6
05.10.2021 03:13:14;9.4
05.10.2021 04:13:14;9.2
05.10.2021 05:13:14;9.0
05.10.2021 06:13:14;9.2
05.10.2021 07:13:14;10.0
05.10.2021 08:13:14;11.2
05.10.2021 09:13:14;12.8
05.10.2021 10:13:14;14.2
05.10.2021 11:13:14;15.4
05.10.2021 12:13:14;16.6
05.10.2021 13:13:14;16.4
05.10.2021 14:13:14;16.0
05.10.2021 15:13:14;15.4
05.10.2021 16:13:14;14.8
05.10.2021 17:13:14;14.2
05.10.2021 18:13:14;13.8
05.10.2021 19:13:14;13.4
05.10.2021 20:13:14;13.0
05.10.2021 21:13:14;12.8
05.10.2021 22:13:14;12.6
05.10.2021 23:13:14;12.4
06.10.2021 00:13:14;12.2
06.10.2021 01:13:14;12.0
06.10.2021 02:13:14;11.8
06.10.2021 03:13:14;11.6
06.10.2021 04:13:14;11.6
06.10.2021 05:13:14;11.6
06.10.2021 06:13:14;11.8
06.10.2021 07:13:14;12.0
06.10.2021 08:13:14;12.6
06.10.2021 09:13:14;13.2
06.10.2021 10:13:14;13.6
06.10.2021 11:13:14;14.0
06.10.2021 12:13:14;14.0
06.10.2021 13:13:14;14.0
06.10.2021 14:13:14;13.6
06.10.2021 15:13:14;13.4
06.10.2021 16:13:14;13.0
06.10.2021 17:13:14;12.6
06.10.2021 18:13:14;12.4
06.10.2021 19:13:14;12.2
06.10.2021 20:13:14;12.0
06.10.2021 21:13:14;11.8
06.10.2021 22:13:14;11.6
06.10.2021 23:13:14;11.4
07.10.2021 00:13:14;11.2
07.10.2021 01:13:14;11.2
07.10.2021 02:13:14;11.0
07.10.2021 03:13:14;11.0
07.10.2021 04:13:14;10.8
07.10.2021 05:13:14;10.8
07.10.2021 06:13:14;11.0
07.10.2021 07:13:14;11.6
07.10.2021 08:13:14;12.2
07.10.2021 09:13:14;13.0
07.10.2021 10:13:14;13.8
07.10.2021 11:13:14;14.4
07.10.2021 12:13:14;14.8
07.10.2021 13:13:14;14.6
07.10.2021 14:13:14;14.4
07.10.2021 15:13:14;14.0
07.10.2021 16:13:14;13.4
07.10.2021 17:13:14;12.8
07.10.2021 18:13:14;12.4
07.10.2021 19:13:14;12.0
07.10.2021 20:13:14;11.6
07.10.2021 21:13:14;11.2
07.10.2021 22:13:14;11.0
07.10.2021 23:13:14;10.6
08.10.2021 00:13:14;10.4
08.10.2021 01:13:14;10.0
08.10.2021 02:13:14;9.8
08.10.2021 03:13:14;9.6
08.10.2021 04:13:14;9.4
08.10.2021 05:13:14;9.4
08.10.2021 06:13:14;9.8
08.10.2021 07:13:14;10.4
08.10.2021 08:13:14;11.4
08.10.2021 09:13:14;12.4
08.10.2021 10:13:14;13.6
08.10.2021 11:13:14;15.0
08.10.2021 12:13:14;15.6
08.10.2021 13:13:14;15.4
08.10.2021 14:13:14;15.0
08.10.2021 15:13:14;14.6
08.10.2021 16:13:14;14.0
08.10.2021 17:13:14;13.4
08.10.2021 18:13:14;13.0
08.10.2021 19:13:14;12.6
08.10.2021 20:13:14;12.0
08.10.2021 21:13:14;11.4
08.10.2021 22:13:14;11.0
08.10.2021 23:13:14;10.6
09.10.2021 00:13:14;10.2
09.10.2021 01:13:14;9.8
09.10.2021 02:13:14;9.6
09.10.2021 03:13:14;9.4
09.10.2021 04:13:14;9.0
09.10.2021 05:13:14;9.0
09.10.2021 06:13:14;9.0
09.10.2021 07:13:14;9.8
09.10.2021 08:13:14;11.0
09.10.2021 09:13:14;12.4
09.10.2021 10:13:14;13.8
09.10.2021 11:13:14;15.0
09.10.2021 12:13:14;15.8
09.10.2021 13:13:14;15.6
09.10.2021 14:13:14;15.0
09.10.2021 15:13:14;14.4
09.10.2021 16:13:14;13.6
09.10.2021 17:13:14;13.0
09.10.2021 18:13:14;12.4
09.10.2021 19:13:14;11.8
09.10.2021 20:13:14;11.2
09.10.2021 21:13:14;10.8
09.10.2021 22:13:14;10.4
09.10.2021 23:13:14;10.0
10.10.2021 00:13:14;9.6
10.10.2021 01:13:14;9.4
10.10.2021 02:13:14;9.2
10.10.2021 03:13:14;9.2
10.10.2021 04:13:14;9.0
10.10.2021 05:13:14;9.0
10.10.2021 06:13:14;8.8
10.10.2021 07:13:14;8.8
10.10.2021 08:13:14;8.8
10.10.2021 09:13:14;9.0
10.10.2021 10:13:14;9.4
10.10.2021 11:13:14;10.6
10.10.2021 12:13:14;11.6
10.10.2021 13:13:14;11.4
10.10.2021 14:13:14;10.8
10.10.2021 15:13:14;10.2
10.10.2021 16:13:14;9.4
10.10.2021 17:13:14;8.8
10.10.2021 18:13:14;8.2
10.10.2021 19:13:14;7.8
10.10.2021 20:13:14;7.2
10.10.2021 21:13:14;7.0
10.10.2021 22:13:14;6.6
10.10.2021 23:13:14;6.4
11.10.2021 00:13:14;6.2
11.10.2021 01:13:14;6.2
11.10.2021 02:13:14;6.0
11.10.2021 03:13:14;5.8
11.10.2021 04:13:14;5.6
11.10.2021 05:13:14;5.4
11.10.2021 06:13:14;5.4
11.10.2021 07:13:14;5.6
11.10.2021 08:13:14;6.6
11.10.2021 09:13:14;8.2
11.10.2021 10:13:14;10.0
11.10.2021 11:13:14;11.6
11.10.2021 12:13:14;12.6
11.10.2021 13:13:14;12.4
11.10.2021 14:13:14;11.8
11.10.2021 15:13:14;10.8
