88:6B:0F:4A:70:E8    -    SLF-Logger BLE
SerialNr;2005-0091
Project;sangvor
Name;mih
Location;SLF
Longitude;9.847383
Latitude;46.81242
Altitude;1561.0

Logger State;Stopped
Battery Level;72

Start Time;05. 09. 2022  13:01:40
PC Readout Time;22. 09. 2023  11:34:14
Logger Readout Time;22. 09. 2023  11:32:33
Logger to PC Difference;0d 0h 1min 41sec
Interval;1 hour

Offset (already added)[°C];0
Accuracy;0.2°C (Low power usage)

Measurement Count;9167
05.09.2022 13:01:40;23.4
05.09.2022 14:01:40;22.8
05.09.2022 15:01:40;21.8
05.09.2022 16:01:40;20.8
05.09.2022 17:01:40;20.0
05.09.2022 18:01:40;19.2
05.09.2022 19:01:40;18.6
05.09.2022 20:01:40;18.0
05.09.2022 21:01:40;17.4
05.09.2022 22:01:40;16.8
05.09.2022 23:01:40;16.4
06.09.2022 00:01:40;16.0
06.09.2022 01:01:40;15.6
06.09.2022 02:01:40;15.2
06.09.2022 03:01:40;14.8
06.09.2022 04:01:40;14.6
06.09.2022 05:01:40;14.4
06.09.2022 06:01:40;15.2
06.09.2022 07:01:40;17.0
06.09.2022 08:01:40;18.8
06.09.2022 09:01:40;20.6
06.09.2022 10:01:40;21.8
06.09.2022 11:01:40;22.6
06.09.2022 12:01:40;23.0
06.09.2022 13:01:40;23.0
06.09.2022 14:01:40;22.4
06.09.2022 15:01:40;21.6
06.09.2022 16:01:40;20.8
06.09.2022 17:01:40;20.0
06.09.2022 18:01:40;19.2
06.09.2022 19:01:40;18.6
06.09.2022 20:01:40;17.8
06.09.2022 21:01:40;17.4
06.09.2022 22:01:40;16.8
06.09.2022 23:01:40;16.4
07.09.2022 00:01:40;16.0
07.09.2022 01:01:40;15.6
07.09.2022 02:01:40;15.2
07.09.2022 03:01:40;14.8
07.09.2022 04:01:40;14.6
07.09.2022 05:01:40;14.4
07.09.2022 06:01:40;15.2
07.09.2022 07:01:40;17.0
07.09.2022 08:01:40;19.0
07.09.2022 09:01:40;21.0
07.09.2022 10:01:40;22.2
07.09.2022 11:01:40;23.0
07.09.2022 12:01:40;23.4
07.09.2022 13:01:40;23.4
07.09.2022 14:01:40;22.8
07.09.2022 15:01:40;22.0
07.09.2022 16:01:40;21.0
07.09.2022 17:01:40;20.2
07.09.2022 18:01:40;19.4
07.09.2022 19:01:40;18.6
07.09.2022 20:01:40;18.0
07.09.2022 21:01:40;17.4
07.09.2022 22:01:40;16.8
07.09.2022 23:01:40;16.4
08.09.2022 00:01:40;16.0
08.09.2022 01:01:40;15.6
08.09.2022 02:01:40;15.2
08.09.2022 03:01:40;14.8
08.09.2022 04:01:40;14.6
08.09.2022 05:01:40;14.4
08.09.2022 06:01:40;15.2
08.09.2022 07:01:40;17.0
08.09.2022 08:01:40;19.0
08.09.2022 09:01:40;20.8
08.09.2022 10:01:40;22.0
08.09.2022 11:01:40;22.8
08.09.2022 12:01:40;23.2
08.09.2022 13:01:40;23.2
08.09.2022 14:01:40;22.6
08.09.2022 15:01:40;21.8
08.09.2022 16:01:40;20.8
08.09.2022 17:01:40;20.0
08.09.2022 18:01:40;19.2
08.09.2022 19:01:40;18.4
08.09.2022 20:01:40;17.8
08.09.2022 21:01:40;17.2
08.09.2022 22:01:40;16.8
08.09.2022 23:01:40;16.2
09.09.2022 00:01:40;15.8
09.09.2022 01:01:40;15.4
09.09.2022 02:01:40;15.0
09.09.2022 03:01:40;14.6
09.09.2022 04:01:40;14.4
09.09.2022 05:01:40;14.2
09.09.2022 06:01:40;14.8
09.09.2022 07:01:40;16.8
09.09.2022 08:01:40;18.8
09.09.2022 09:01:40;20.8
09.09.2022 10:01:40;22.0
09.09.2022 11:01:40;22.8
09.09.2022 12:01:40;23.2
09.09.2022 13:01:40;23.2
09.09.2022 14:01:40;22.6
09.09.2022 15:01:40;21.8
09.09.2022 16:01:40;20.8
09.09.2022 17:01:40;20.0
09.09.2022 18:01:40;19.2
09.09.2022 19:01:40;18.6
09.09.2022 20:01:40;17.8
09.09.2022 21:01:40;17.4
09.09.2022 22:01:40;16.8
09.09.2022 23:01:40;16.4
10.09.2022 00:01:40;15.8
10.09.2022 01:01:40;15.4
10.09.2022 02:01:40;15.0
10.09.2022 03:01:40;14.8
10.09.2022 04:01:40;14.4
10.09.2022 05:01:40;14.2
10.09.2022 06:01:40;15.0
10.09.2022 07:01:40;16.8
10.09.2022 08:01:40;19.0
10.09.2022 09:01:40;20.8
10.09.2022 10:01:40;22.0
10.09.2022 11:01:40;22.8
10.09.2022 12:01:40;23.2
10.09.2022 13:01:40;23.2
10.09.2022 14:01:40;22.6
10.09.2022 15:01:40;21.8
10.09.2022 16:01:40;21.0
10.09.2022 17:01:40;20.2
10.09.2022 18:01:40;19.4
10.09.2022 19:01:40;18.6
10.09.2022 20:01:40;18.0
10.09.2022 21:01:40;17.4
10.09.2022 22:01:40;17.0
10.09.2022 23:01:40;16.4
11.09.2022 00:01:40;16.0
11.09.2022 01:01:40;15.6
11.09.2022 02:01:40;15.2
11.09.2022 03:01:40;14.8
11.09.2022 04:01:40;14.6
11.09.2022 05:01:40;14.4
11.09.2022 06:01:40;15.0
11.09.2022 07:01:40;16.8
11.09.2022 08:01:40;18.8
11.09.2022 09:01:40;20.6
11.09.2022 10:01:40;21.8
11.09.2022 11:01:40;22.4
11.09.2022 12:01:40;22.8
11.09.2022 13:01:40;22.6
11.09.2022 14:01:40;22.0
11.09.2022 15:01:40;21.2
11.09.2022 16:01:40;20.4
11.09.2022 17:01:40;19.6
11.09.2022 18:01:40;19.0
11.09.2022 19:01:40;18.4
11.09.2022 20:01:40;17.8
11.09.2022 21:01:40;17.2
11.09.2022 22:01:40;16.6
11.09.2022 23:01:40;16.0
12.09.2022 00:01:40;15.6
12.09.2022 01:01:40;15.2
12.09.2022 02:01:40;14.8
12.09.2022 03:01:40;14.4
12.09.2022 04:01:40;14.2
12.09.2022 05:01:40;14.2
12.09.2022 06:01:40;14.8
12.09.2022 07:01:40;16.4
12.09.2022 08:01:40;18.2
12.09.2022 09:01:40;19.8
12.09.2022 10:01:40;21.0
12.09.2022 11:01:40;21.6
12.09.2022 12:01:40;22.2
12.09.2022 13:01:40;22.2
12.09.2022 14:01:40;21.6
12.09.2022 15:01:40;21.0
12.09.2022 16:01:40;20.2
12.09.2022 17:01:40;19.4
12.09.2022 18:01:40;18.6
12.09.2022 19:01:40;17.8
12.09.2022 20:01:40;17.2
12.09.2022 21:01:40;16.6
12.09.2022 22:01:40;16.0
12.09.2022 23:01:40;15.6
13.09.2022 00:01:40;15.0
13.09.2022 01:01:40;14.6
13.09.2022 02:01:40;14.2
13.09.2022 03:01:40;13.8
13.09.2022 04:01:40;13.6
13.09.2022 05:01:40;13.4
13.09.2022 06:01:40;14.2
13.09.2022 07:01:40;15.8
13.09.2022 08:01:40;17.8
13.09.2022 09:01:40;19.6
13.09.2022 10:01:40;21.2
13.09.2022 11:01:40;21.8
13.09.2022 12:01:40;22.2
13.09.2022 13:01:40;22.2
13.09.2022 14:01:40;21.6
13.09.2022 15:01:40;20.8
13.09.2022 16:01:40;20.0
13.09.2022 17:01:40;19.2
13.09.2022 18:01:40;18.4
13.09.2022 19:01:40;17.8
13.09.2022 20:01:40;17.2
13.09.2022 21:01:40;16.6
13.09.2022 22:01:40;16.0
13.09.2022 23:01:40;15.6
14.09.2022 00:01:40;15.2
14.09.2022 01:01:40;14.8
14.09.2022 02:01:40;14.4
14.09.2022 03:01:40;14.2
14.09.2022 04:01:40;13.8
14.09.2022 05:01:40;13.8
14.09.2022 06:01:40;14.4
14.09.2022 07:01:40;16.2
14.09.2022 08:01:40;18.2
14.09.2022 09:01:40;20.0
14.09.2022 10:01:40;21.4
14.09.2022 11:01:40;22.0
14.09.2022 12:01:40;22.4
14.09.2022 13:01:40;22.4
14.09.2022 14:01:40;21.8
14.09.2022 15:01:40;21.0
14.09.2022 16:01:40;20.2
14.09.2022 17:01:40;19.4
14.09.2022 18:01:40;18.6
14.09.2022 19:01:40;18.0
14.09.2022 20:01:40;17.4
14.09.2022 21:01:40;16.8
14.09.2022 22:01:40;16.2
14.09.2022 23:01:40;15.8
15.09.2022 00:01:40;15.4
15.09.2022 01:01:40;15.0
15.09.2022 02:01:40;14.6
15.09.2022 03:01:40;14.2
15.09.2022 04:01:40;14.0
15.09.2022 05:01:40;13.8
15.09.2022 06:01:40;14.4
15.09.2022 07:01:40;16.2
15.09.2022 08:01:40;18.2
15.09.2022 09:01:40;20.0
15.09.2022 10:01:40;21.4
15.09.2022 11:01:40;22.0
15.09.2022 12:01:40;22.4
15.09.2022 13:01:40;22.2
15.09.2022 14:01:40;21.8
15.09.2022 15:01:40;21.0
15.09.2022 16:01:40;20.2
15.09.2022 17:01:40;19.2
15.09.2022 18:01:40;18.6
15.09.2022 19:01:40;17.8
15.09.2022 20:01:40;17.2
15.09.2022 21:01:40;16.6
15.09.2022 22:01:40;16.0
15.09.2022 23:01:40;15.6
16.09.2022 00:01:40;15.0
16.09.2022 01:01:40;14.6
16.09.2022 02:01:40;14.4
16.09.2022 03:01:40;14.0
16.09.2022 04:01:40;13.8
16.09.2022 05:01:40;13.6
16.09.2022 06:01:40;14.2
16.09.2022 07:01:40;15.8
16.09.2022 08:01:40;17.6
16.09.2022 09:01:40;19.4
16.09.2022 10:01:40;20.6
16.09.2022 11:01:40;21.4
16.09.2022 12:01:40;21.8
16.09.2022 13:01:40;21.6
16.09.2022 14:01:40;21.2
16.09.2022 15:01:40;20.4
16.09.2022 16:01:40;19.6
16.09.2022 17:01:40;18.8
16.09.2022 18:01:40;18.0
16.09.2022 19:01:40;17.4
16.09.2022 20:01:40;16.8
16.09.2022 21:01:40;16.2
16.09.2022 22:01:40;15.8
16.09.2022 23:01:40;15.4
17.09.2022 00:01:40;15.0
17.09.2022 01:01:40;14.6
17.09.2022 02:01:40;14.2
17.09.2022 03:01:40;13.8
17.09.2022 04:01:40;13.6
17.09.2022 05:01:40;13.6
17.09.2022 06:01:40;14.2
17.09.2022 07:01:40;15.8
17.09.2022 08:01:40;17.6
17.09.2022 09:01:40;19.4
17.09.2022 10:01:40;20.6
17.09.2022 11:01:40;21.2
17.09.2022 12:01:40;21.4
17.09.2022 13:01:40;21.0
17.09.2022 14:01:40;20.6
17.09.2022 15:01:40;19.8
17.09.2022 16:01:40;19.0
17.09.2022 17:01:40;18.4
17.09.2022 18:01:40;17.6
17.09.2022 19:01:40;17.0
17.09.2022 20:01:40;16.4
17.09.2022 21:01:40;15.8
17.09.2022 22:01:40;15.2
17.09.2022 23:01:40;14.8
18.09.2022 00:01:40;14.4
18.09.2022 01:01:40;14.2
18.09.2022 02:01:40;13.8
18.09.2022 03:01:40;13.4
18.09.2022 04:01:40;13.2
18.09.2022 05:01:40;13.0
18.09.2022 06:01:40;13.6
18.09.2022 07:01:40;15.4
18.09.2022 08:01:40;17.2
18.09.2022 09:01:40;18.8
18.09.2022 10:01:40;19.6
18.09.2022 11:01:40;20.2
18.09.2022 12:01:40;20.4
18.09.2022 13:01:40;20.4
18.09.2022 14:01:40;20.2
18.09.2022 15:01:40;19.6
18.09.2022 16:01:40;18.8
18.09.2022 17:01:40;18.0
18.09.2022 18:01:40;17.4
18.09.2022 19:01:40;16.6
18.09.2022 20:01:40;16.0
18.09.2022 21:01:40;15.4
18.09.2022 22:01:40;15.0
18.09.2022 23:01:40;14.4
19.09.2022 00:01:40;14.2
19.09.2022 01:01:40;13.6
19.09.2022 02:01:40;13.4
19.09.2022 03:01:40;13.0
19.09.2022 04:01:40;12.8
19.09.2022 05:01:40;12.6
19.09.2022 06:01:40;13.2
19.09.2022 07:01:40;15.0
19.09.2022 08:01:40;17.0
19.09.2022 09:01:40;19.0
19.09.2022 10:01:40;20.2
19.09.2022 11:01:40;21.0
19.09.2022 12:01:40;21.4
19.09.2022 13:01:40;21.2
19.09.2022 14:01:40;20.8
19.09.2022 15:01:40;20.0
19.09.2022 16:01:40;19.2
19.09.2022 17:01:40;18.4
19.09.2022 18:01:40;17.6
19.09.2022 19:01:40;16.8
19.09.2022 20:01:40;16.2
19.09.2022 21:01:40;15.6
19.09.2022 22:01:40;15.2
19.09.2022 23:01:40;14.6
20.09.2022 00:01:40;14.2
20.09.2022 01:01:40;13.8
20.09.2022 02:01:40;13.6
20.09.2022 03:01:40;13.2
20.09.2022 04:01:40;13.0
20.09.2022 05:01:40;12.8
20.09.2022 06:01:40;13.4
20.09.2022 07:01:40;14.4
20.09.2022 08:01:40;15.6
20.09.2022 09:01:40;16.6
20.09.2022 10:01:40;17.4
20.09.2022 11:01:40;18.2
20.09.2022 12:01:40;18.8
20.09.2022 13:01:40;19.2
20.09.2022 14:01:40;19.0
20.09.2022 15:01:40;18.4
20.09.2022 16:01:40;17.8
20.09.2022 17:01:40;17.2
20.09.2022 18:01:40;16.6
20.09.2022 19:01:40;16.0
20.09.2022 20:01:40;15.4
20.09.2022 21:01:40;15.0
20.09.2022 22:01:40;14.4
20.09.2022 23:01:40;14.2
21.09.2022 00:01:40;13.8
21.09.2022 01:01:40;13.4
21.09.2022 02:01:40;13.2
21.09.2022 03:01:40;12.8
21.09.2022 04:01:40;12.8
21.09.2022 05:01:40;12.8
21.09.2022 06:01:40;13.4
21.09.2022 07:01:40;14.8
21.09.2022 08:01:40;16.6
21.09.2022 09:01:40;18.0
21.09.2022 10:01:40;18.8
21.09.2022 11:01:40;19.4
21.09.2022 12:01:40;19.6
21.09.2022 13:01:40;19.6
21.09.2022 14:01:40;19.2
21.09.2022 15:01:40;18.8
21.09.2022 16:01:40;18.0
21.09.2022 17:01:40;17.4
21.09.2022 18:01:40;16.8
21.09.2022 19:01:40;16.0
21.09.2022 20:01:40;15.6
21.09.2022 21:01:40;15.0
21.09.2022 22:01:40;14.4
21.09.2022 23:01:40;14.0
