88:6B:0F:4A:71:00    -    SLF-Logger BLE
SerialNr;2005-0071
Project;sangvor
Name;mih
Location;SLF
Longitude;9.847383
Latitude;46.81242
Altitude;3938.0

Logger State;Stopped
Battery Level;80

Start Time;23. 09. 2021  14:14:45
PC Readout Time;08. 09. 2022  05:27:24
Logger Readout Time;08. 09. 2022  05:26:39
Logger to PC Difference;0d 0h 0min 45sec
Interval;1 hour

Offset (already added)[°C];0
Accuracy;0.2°C (Low power usage)

Measurement Count;8392
23.09.2021 14:14:45;10.4
23.09.2021 15:14:45;9.6
23.09.2021 16:14:45;8.2
23.09.2021 17:14:45;7.0
23.09.2021 18:14:45;6.0
23.09.2021 19:14:45;5.2
23.09.2021 20:14:45;4.4
23.09.2021 21:14:45;3.8
23.09.2021 22:14:45;3.2
23.09.2021 23:14:45;2.6
24.09.2021 00:14:45;2.0
24.09.2021 01:14:45;1.6
24.09.2021 02:14:45;1.2
24.09.2021 03:14:45;1.0
24.09.2021 04:14:45;1.0
24.09.2021 05:14:45;2.6
24.09.2021 06:14:45;5.4
24.09.2021 07:14:45;8.4
24.09.2021 08:14:45;11.2
24.09.2021 09:14:45;12.6
24.09.2021 10:14:45;13.8
24.09.2021 11:14:45;14.4
24.09.2021 12:14:45;14.4
24.09.2021 13:14:45;12.2
24.09.2021 14:14:45;10.2
24.09.2021 15:14:45;8.8
24.09.2021 16:14:45;7.4
24.09.2021 17:14:45;6.4
24.09.2021 18:14:45;5.6
24.09.2021 19:14:45;4.8
24.09.2021 20:14:45;4.2
24.09.2021 21:14:45;3.6
24.09.2021 22:14:45;3.0
24.09.2021 23:14:45;2.6
25.09.2021 00:14:45;2.2
25.09.2021 01:14:45;1.8
25.09.2021 02:14:45;1.4
25.09.2021 03:14:45;1.0
25.09.2021 04:14:45;1.2
25.09.2021 05:14:45;2.8
25.09.2021 06:14:45;5.4
25.09.2021 07:14:45;8.4
25.09.2021 08:14:45;11.2
25.09.2021 09:14:45;13.8
25.09.2021 10:14:45;15.2
25.09.2021 11:14:45;15.6
25.09.2021 12:14:45;15.2
25.09.2021 13:14:45;12.6
25.09.2021 14:14:45;10.8
25.09.2021 15:14:45;9.2
25.09.2021 16:14:45;7.6
25.09.2021 17:14:45;6.6
25.09.2021 18:14:45;5.8
25.09.2021 19:14:45;5.0
25.09.2021 20:14:45;4.4
25.09.2021 21:14:45;3.8
25.09.2021 22:14:45;3.4
25.09.2021 23:14:45;2.8
26.09.2021 00:14:45;2.4
26.09.2021 01:14:45;2.0
26.09.2021 02:14:45;1.8
26.09.2021 03:14:45;1.4
26.09.2021 04:14:45;1.6
26.09.2021 05:14:45;3.4
26.09.2021 06:14:45;6.0
26.09.2021 07:14:45;9.0
26.09.2021 08:14:45;12.0
26.09.2021 09:14:45;14.4
26.09.2021 10:14:45;16.2
26.09.2021 11:14:45;16.4
26.09.2021 12:14:45;15.6
26.09.2021 13:14:45;13.0
26.09.2021 14:14:45;11.0
26.09.2021 15:14:45;9.2
26.09.2021 16:14:45;8.0
26.09.2021 17:14:45;7.0
26.09.2021 18:14:45;6.2
26.09.2021 19:14:45;5.4
26.09.2021 20:14:45;4.6
26.09.2021 21:14:45;4.2
26.09.2021 22:14:45;3.4
26.09.2021 23:14:45;3.0
27.09.2021 00:14:45;2.6
27.09.2021 01:14:45;2.0
27.09.2021 02:14:45;1.6
27.09.2021 03:14:45;1.4
27.09.2021 04:14:45;1.4
27.09.2021 05:14:45;3.2
27.09.2021 06:14:45;5.6
27.09.2021 07:14:45;8.4
27.09.2021 08:14:45;10.8
27.09.2021 09:14:45;13.2
27.09.2021 10:14:45;14.2
27.09.2021 11:14:45;14.8
27.09.2021 12:14:45;13.6
27.09.2021 13:14:45;11.2
27.09.2021 14:14:45;9.6
27.09.2021 15:14:45;8.2
27.09.2021 16:14:45;6.8
27.09.2021 17:14:45;6.0
27.09.2021 18:14:45;5.2
27.09.2021 19:14:45;4.4
27.09.2021 20:14:45;4.0
27.09.2021 21:14:45;3.4
27.09.2021 22:14:45;3.0
27.09.2021 23:14:45;2.6
28.09.2021 00:14:45;2.0
28.09.2021 01:14:45;1.6
28.09.2021 02:14:45;1.2
28.09.2021 03:14:45;1.0
28.09.2021 04:14:45;1.0
28.09.2021 05:14:45;2.8
28.09.2021 06:14:45;5.4
28.09.2021 07:14:45;8.2
28.09.2021 08:14:45;10.8
28.09.2021 09:14:45;12.2
28.09.2021 10:14:45;13.4
28.09.2021 11:14:45;14.0
28.09.2021 12:14:45;12.8
28.09.2021 13:14:45;10.8
28.09.2021 14:14:45;9.6
28.09.2021 15:14:45;8.2
28.09.2021 16:14:45;7.2
28.09.2021 17:14:45;6.4
28.09.2021 18:14:45;5.6
28.09.2021 19:14:45;5.2
28.09.2021 20:14:45;4.8
28.09.2021 21:14:45;4.4
28.09.2021 22:14:45;4.2
28.09.2021 23:14:45;4.0
29.09.2021 00:14:45;3.6
29.09.2021 01:14:45;3.4
29.09.2021 02:14:45;3.4
29.09.2021 03:14:45;3.4
29.09.2021 04:14:45;4.0
29.09.2021 05:14:45;4.6
29.09.2021 06:14:45;5.6
29.09.2021 07:14:45;7.4
29.09.2021 08:14:45;9.4
29.09.2021 09:14:45;11.0
29.09.2021 10:14:45;12.0
29.09.2021 11:14:45;13.0
29.09.2021 12:14:45;12.0
29.09.2021 13:14:45;10.2
29.09.2021 14:14:45;9.0
29.09.2021 15:14:45;8.0
29.09.2021 16:14:45;7.2
29.09.2021 17:14:45;6.4
29.09.2021 18:14:45;5.8
29.09.2021 19:14:45;5.2
29.09.2021 20:14:45;4.6
29.09.2021 21:14:45;4.2
29.09.2021 22:14:45;3.6
29.09.2021 23:14:45;3.2
30.09.2021 00:14:45;2.8
30.09.2021 01:14:45;2.4
30.09.2021 02:14:45;2.0
30.09.2021 03:14:45;2.2
30.09.2021 04:14:45;2.6
30.09.2021 05:14:45;3.4
30.09.2021 06:14:45;5.4
30.09.2021 07:14:45;7.4
30.09.2021 08:14:45;10.4
30.09.2021 09:14:45;12.4
30.09.2021 10:14:45;13.8
30.09.2021 11:14:45;14.2
30.09.2021 12:14:45;12.8
30.09.2021 13:14:45;11.2
30.09.2021 14:14:45;9.8
30.09.2021 15:14:45;8.6
30.09.2021 16:14:45;7.8
30.09.2021 17:14:45;7.0
30.09.2021 18:14:45;6.4
30.09.2021 19:14:45;5.8
30.09.2021 20:14:45;5.2
30.09.2021 21:14:45;4.6
30.09.2021 22:14:45;4.4
30.09.2021 23:14:45;4.6
01.10.2021 00:14:45;4.6
01.10.2021 01:14:45;4.4
01.10.2021 02:14:45;4.4
01.10.2021 03:14:45;4.4
01.10.2021 04:14:45;4.8
01.10.2021 05:14:45;5.4
01.10.2021 06:14:45;6.4
01.10.2021 07:14:45;7.2
01.10.2021 08:14:45;7.6
01.10.2021 09:14:45;8.8
01.10.2021 10:14:45;8.6
01.10.2021 11:14:45;8.6
01.10.2021 12:14:45;8.2
01.10.2021 13:14:45;7.6
01.10.2021 14:14:45;6.8
01.10.2021 15:14:45;6.0
01.10.2021 16:14:45;5.4
01.10.2021 17:14:45;5.0
01.10.2021 18:14:45;4.8
01.10.2021 19:14:45;4.6
01.10.2021 20:14:45;4.4
01.10.2021 21:14:45;4.0
01.10.2021 22:14:45;3.6
01.10.2021 23:14:45;3.4
02.10.2021 00:14:45;3.0
02.10.2021 01:14:45;2.6
02.10.2021 02:14:45;2.6
02.10.2021 03:14:45;2.2
02.10.2021 04:14:45;2.2
02.10.2021 05:14:45;2.4
02.10.2021 06:14:45;3.4
02.10.2021 07:14:45;4.2
02.10.2021 08:14:45;4.4
02.10.2021 09:14:45;4.0
02.10.2021 10:14:45;3.6
02.10.2021 11:14:45;3.2
02.10.2021 12:14:45;3.4
02.10.2021 13:14:45;3.2
02.10.2021 14:14:45;2.4
02.10.2021 15:14:45;2.2
02.10.2021 16:14:45;1.8
02.10.2021 17:14:45;1.6
02.10.2021 18:14:45;1.2
02.10.2021 19:14:45;1.0
02.10.2021 20:14:45;0.8
02.10.2021 21:14:45;0.8
02.10.2021 22:14:45;0.6
02.10.2021 23:14:45;0.6
03.10.2021 00:14:45;0.4
03.10.2021 01:14:45;0.4
03.10.2021 02:14:45;0.2
03.10.2021 03:14:45;0.2
03.10.2021 04:14:45;0.4
03.10.2021 05:14:45;0.6
03.10.2021 06:14:45;1.8
03.10.2021 07:14:45;3.6
03.10.2021 08:14:45;5.6
03.10.2021 09:14:45;6.4
03.10.2021 10:14:45;7.2
03.10.2021 11:14:45;7.0
03.10.2021 12:14:45;6.2
03.10.2021 13:14:45;5.6
03.10.2021 14:14:45;4.2
03.10.2021 15:14:45;3.4
03.10.2021 16:14:45;2.8
03.10.2021 17:14:45;2.2
03.10.2021 18:14:45;1.8
03.10.2021 19:14:45;1.6
03.10.2021 20:14:45;1.2
03.10.2021 21:14:45;1.0
03.10.2021 22:14:45;0.8
03.10.2021 23:14:45;0.8
04.10.2021 00:14:45;0.8
04.10.2021 01:14:45;0.8
04.10.2021 02:14:45;0.8
04.10.2021 03:14:45;0.8
04.10.2021 04:14:45;1.0
04.10.2021 05:14:45;1.0
04.10.2021 06:14:45;1.4
04.10.2021 07:14:45;3.0
04.10.2021 08:14:45;5.4
04.10.2021 09:14:45;7.6
04.10.2021 10:14:45;8.8
04.10.2021 11:14:45;9.0
04.10.2021 12:14:45;6.8
04.10.2021 13:14:45;5.2
04.10.2021 14:14:45;3.8
04.10.2021 15:14:45;2.6
04.10.2021 16:14:45;1.8
04.10.2021 17:14:45;1.2
04.10.2021 18:14:45;0.8
04.10.2021 19:14:45;0.4
04.10.2021 20:14:45;0.0
04.10.2021 21:14:45;-0.2
04.10.2021 22:14:45;-0.4
04.10.2021 23:14:45;-0.6
05.10.2021 00:14:45;-0.8
05.10.2021 01:14:45;-1.0
05.10.2021 02:14:45;-1.4
05.10.2021 03:14:45;-1.4
05.10.2021 04:14:45;-1.4
05.10.2021 05:14:45;-0.8
05.10.2021 06:14:45;-0.2
05.10.2021 07:14:45;0.4
05.10.2021 08:14:45;2.8
05.10.2021 09:14:45;6.0
05.10.2021 10:14:45;7.2
05.10.2021 11:14:45;8.0
05.10.2021 12:14:45;6.8
05.10.2021 13:14:45;5.4
05.10.2021 14:14:45;4.2
05.10.2021 15:14:45;3.2
05.10.2021 16:14:45;3.0
05.10.2021 17:14:45;2.6
05.10.2021 18:14:45;2.2
05.10.2021 19:14:45;2.0
05.10.2021 20:14:45;1.8
05.10.2021 21:14:45;1.4
05.10.2021 22:14:45;1.4
05.10.2021 23:14:45;1.2
06.10.2021 00:14:45;1.0
06.10.2021 01:14:45;0.8
06.10.2021 02:14:45;0.6
06.10.2021 03:14:45;0.6
06.10.2021 04:14:45;0.8
06.10.2021 05:14:45;0.8
06.10.2021 06:14:45;1.0
06.10.2021 07:14:45;1.0
06.10.2021 08:14:45;1.2
06.10.2021 09:14:45;1.4
06.10.2021 10:14:45;2.0
06.10.2021 11:14:45;2.0
06.10.2021 12:14:45;2.0
06.10.2021 13:14:45;2.0
06.10.2021 14:14:45;1.2
06.10.2021 15:14:45;1.0
06.10.2021 16:14:45;0.8
06.10.2021 17:14:45;0.6
06.10.2021 18:14:45;0.4
06.10.2021 19:14:45;0.4
06.10.2021 20:14:45;0.2
06.10.2021 21:14:45;0.2
06.10.2021 22:14:45;0.2
06.10.2021 23:14:45;0.0
07.10.2021 00:14:45;0.0
07.10.2021 01:14:45;0.0
07.10.2021 02:14:45;0.0
07.10.2021 03:14:45;0.2
07.10.2021 04:14:45;0.2
07.10.2021 05:14:45;0.2
07.10.2021 06:14:45;0.2
07.10.2021 07:14:45;0.2
07.10.2021 08:14:45;0.2
07.10.2021 09:14:45;0.4
07.10.2021 10:14:45;0.8
07.10.2021 11:14:45;1.8
07.10.2021 12:14:45;1.6
07.10.2021 13:14:45;1.6
07.10.2021 14:14:45;1.2
07.10.2021 15:14:45;0.8
07.10.2021 16:14:45;0.6
07.10.2021 17:14:45;0.4
07.10.2021 18:14:45;0.2
07.10.2021 19:14:45;0.2
07.10.2021 20:14:45;0.0
07.10.2021 21:14:45;0.0
07.10.2021 22:14:45;0.0
07.10.2021 23:14:45;-0.2
08.10.2021 00:14:45;-0.2
08.10.2021 01:14:45;-0.4
08.10.2021 02:14:45;-0.4
08.10.2021 03:14:45;-0.4
08.10.2021 04:14:45;-0.4
08.10.2021 05:14:45;-0.2
08.10.2021 06:14:45;-0.2
08.10.2021 07:14:45;0.2
08.10.2021 08:14:45;2.6
08.10.2021 09:14:45;5.2
08.10.2021 10:14:45;7.6
08.10.2021 11:14:45;7.8
08.10.2021 12:14:45;5.8
08.10.2021 13:14:45;4.4
08.10.2021 14:14:45;3.0
08.10.2021 15:14:45;2.2
08.10.2021 16:14:45;1.6
08.10.2021 17:14:45;1.2
08.10.2021 18:14:45;0.8
08.10.2021 19:14:45;0.6
08.10.2021 20:14:45;0.4
08.10.2021 21:14:45;0.0
08.10.2021 22:14:45;0.0
08.10.2021 23:14:45;-0.2
09.10.2021 00:14:45;-0.4
09.10.2021 01:14:45;-0.6
09.10.2021 02:14:45;-0.8
09.10.2021 03:14:45;-1.0
09.10.2021 04:14:45;-0.8
09.10.2021 05:14:45;-0.6
09.10.2021 06:14:45;-0.4
09.10.2021 07:14:45;0.0
09.10.2021 08:14:45;1.4
09.10.2021 09:14:45;3.8
09.10.2021 10:14:45;5.2
09.10.2021 11:14:45;6.0
09.10.2021 12:14:45;4.6
09.10.2021 13:14:45;3.4
09.10.2021 14:14:45;2.2
09.10.2021 15:14:45;1.4
09.10.2021 16:14:45;0.8
09.10.2021 17:14:45;0.4
09.10.2021 18:14:45;0.4
09.10.2021 19:14:45;0.2
09.10.2021 20:14:45;0.0
09.10.2021 21:14:45;0.0
09.10.2021 22:14:45;-0.2
